	Artwork-Id	type	district	environment	countArtists	experience	replaced	content	userRating
60	40988727	painting	Spandau	park	2	first time	weathered graffiti	conceptual	1
61	52115770	graffiti	Reinickendorf	side street	1	advanced	recent painting	political	5
62	83187483	graffiti	Lichtenberg	main street	4	first time	weathered graffiti	scenery	2
63	93974507	painting	Neukölln	main street	3	advanced	recent painting	political	4
64	44212685	painting	Tempelhof-Schöneberg	main street	4	first time	nothing	cartoon or comical	5
65	45011143	poster	Reinickendorf	park	3	beginner	nothing	cartoon or comical	3
66	15144179	painting	Steglitz-Zehlendorf	park	2	beginner	nothing	animals or plants	1
67	93412916	painting	Reinickendorf	main street	2	beginner	stickers and tags	scenery	4
68	27645290	text	Friedrichshain-Kreuzberg	playground	2	first time	weathered graffiti	people	
69	52639699	painting	Spandau	playground	4	advanced	weathered graffiti	conceptual	2
70	27293584	painting	Tempelhof-Schöneberg	side street	2	advanced	weathered graffiti	people	1
71	23853647	painting	Steglitz-Zehlendorf	side street	2	first time	poster	political	3
72	80518860	painting	Treptow-Köpenick	side street	2	advanced	poster	scenery	4
73	81266457	painting	Tempelhof-Schöneberg	public spot	4	beginner	recent graffiti	people	3
74	89930310	graffiti	Spandau	public spot	3	beginner	poster	people	2
75	48691643	poster	Steglitz-Zehlendorf	main street	3	first time	weathered graffiti	conceptual	3
76	98563482	graffiti	Tempelhof-Schöneberg	side street	2	first time	poster	political	4
77	60484755	poster	Marzahn-Hellersdorf	side street	2	advanced	stickers and tags	animals or plants	5
78	32181203	poster	Marzahn-Hellersdorf	side street	1	advanced	nothing	animals or plants	4
79	51620941	graffiti	Friedrichshain-Kreuzberg	main street	2	professional	weathered painting	animals or plants	5
80	67366587	painting	Neukölln	main street	1	advanced	weathered graffiti	people	2
81	26503288	painting	Tempelhof-Schöneberg	park	2	beginner	weathered graffiti	conceptual	
82	42923234	painting	Charlottenburg-Wilmersdorf	side street	1	first time	weathered graffiti	scenery	3
83	25174809	graffiti	Lichtenberg	public spot	4	beginner	nothing	scenery	
84	10967766	poster	Friedrichshain-Kreuzberg	main street	1	advanced	nothing	conceptual	
85	21590245	graffiti	Friedrichshain-Kreuzberg	main street	4	beginner	weathered graffiti	cartoon or comical	3
86	39768232	graffiti	Friedrichshain-Kreuzberg	park	4	advanced	weathered graffiti	cartoon or comical	5
87	66607534	graffiti	Mitte	public spot	2	first time	recent painting	conceptual	3
88	12009657	graffiti	Friedrichshain-Kreuzberg	park	4	beginner	poster	scenery	4
89	79818678	painting	Treptow-Köpenick	side street	3	beginner	weathered graffiti	scenery	
90	18397016	graffiti	Spandau	side street	3	professional	weathered graffiti	people	4
91	43225021	graffiti	Reinickendorf	main street	3	beginner	stickers and tags	political	2
92	32034013	stencil	Lichtenberg	public spot	2	first time	weathered graffiti	political	
93	58510078	painting	Steglitz-Zehlendorf	park	4	advanced	weathered painting	people	3
94	45413650	painting	Charlottenburg-Wilmersdorf	playground	1	advanced	weathered painting	political	4
95	38227169	painting	Tempelhof-Schöneberg	side street	2	first time	stickers and tags	animals or plants	2
96	26569920	painting	Spandau	side street	3	beginner	nothing	animals or plants	3
97	36064137	graffiti	Charlottenburg-Wilmersdorf	park	3	beginner	recent painting	political	5
98	16228836	graffiti	Reinickendorf	side street	4	beginner	weathered graffiti	people	4
99	13541288	painting	Tempelhof-Schöneberg	main street	4	beginner	recent graffiti	animals or plants	5
100	64497279	graffiti	Steglitz-Zehlendorf	park	3	advanced	poster	animals or plants	4
101	88593018	painting	Pankow	side street	2	beginner	weathered graffiti	cartoon or comical	4
102	78888052	graffiti	Spandau	main street	5	advanced	weathered graffiti	animals or plants	4
103	32862167	painting	Treptow-Köpenick	side street	2	beginner	nothing	political	4
104	52033889	stencil	Pankow	side street	2	beginner	recent graffiti	animals or plants	3
105	13719187	painting	Spandau	main street	4	advanced	weathered painting	conceptual	4
106	14959116	painting	Pankow	park	3	professional	recent graffiti	cartoon or comical	4
107	87258293	graffiti	Mitte	side street	1	beginner	recent graffiti	animals or plants	2
108	92722676	painting	Tempelhof-Schöneberg	side street	2	beginner	poster	political	
109	91966865	painting	Charlottenburg-Wilmersdorf	main street	3	first time	stickers and tags	political	3
110	39553195	painting	Tempelhof-Schöneberg	public spot	3	beginner	nothing	cartoon or comical	4
111	37075390	painting	Marzahn-Hellersdorf	main street	3	beginner	stickers and tags	cartoon or comical	4
112	52702272	painting	Marzahn-Hellersdorf	public spot	1	beginner	poster	political	3
113	36517246	graffiti	Reinickendorf	side street	2	beginner	weathered painting	animals or plants	4
114	61914942	graffiti	Marzahn-Hellersdorf	side street	1	advanced	weathered painting	scenery	
115	53467109	painting	Pankow	park	1	advanced	stickers and tags	people	2
116	11383328	painting	Treptow-Köpenick	main street	4	advanced	weathered graffiti	people	
117	85262608	painting	Treptow-Köpenick	public spot	2	advanced	stickers and tags	cartoon or comical	
118	79399720	text	Marzahn-Hellersdorf	main street	3	first time	weathered graffiti	people	2
119	70292679	painting	Treptow-Köpenick	side street	3	first time	recent painting	cartoon or comical	3
120	55314224	graffiti	Steglitz-Zehlendorf	main street	2	beginner	weathered painting	conceptual	3
121	59546279	painting	Pankow	side street	4	beginner	recent graffiti	animals or plants	5
122	74010772	painting	Lichtenberg	park	1	advanced	poster	cartoon or comical	2
123	40330552	graffiti	Mitte	park	2	beginner	stickers and tags	conceptual	1
124	19205002	graffiti	Steglitz-Zehlendorf	side street	4	first time	recent graffiti	people	3
125	20741676	painting	Charlottenburg-Wilmersdorf	main street	1	beginner	recent painting	animals or plants	3
126	14911034	painting	Lichtenberg	main street	4	beginner	poster	scenery	
127	66493776	painting	Mitte	main street	4	beginner	stickers and tags	animals or plants	3
128	78059713	poster	Charlottenburg-Wilmersdorf	public spot	2	advanced	stickers and tags	conceptual	1
129	14766441	painting	Reinickendorf	playground	3	first time	nothing	political	
130	32745198	painting	Spandau	public spot	2	first time	recent graffiti	cartoon or comical	4
131	71158136	graffiti	Treptow-Köpenick	playground	2	beginner	stickers and tags	animals or plants	4
132	57201840	graffiti	Steglitz-Zehlendorf	public spot	2	advanced	recent graffiti	conceptual	5
133	39661503	graffiti	Neukölln	park	3	advanced	stickers and tags	people	3
134	39690421	painting	Marzahn-Hellersdorf	main street	1	beginner	weathered graffiti	scenery	2
135	14217691	painting	Charlottenburg-Wilmersdorf	side street	1	first time	weathered graffiti	political	2
136	39261073	graffiti	Steglitz-Zehlendorf	main street	2	first time	recent graffiti	cartoon or comical	1
137	41394909	painting	Charlottenburg-Wilmersdorf	main street	2	first time	weathered painting	animals or plants	3
138	33632243	poster	Pankow	public spot	3	advanced	recent graffiti	cartoon or comical	5
139	61625756	painting	Treptow-Köpenick	public spot	1	first time	weathered graffiti	political	5
140	22917952	graffiti	Tempelhof-Schöneberg	main street	4	beginner	weathered painting	cartoon or comical	5
141	13712110	painting	Neukölln	public spot	2	first time	poster	people	1
142	77024207	painting	Neukölln	main street	2	beginner	poster	animals or plants	4
143	61359563	graffiti	Neukölln	main street	2	advanced	weathered graffiti	people	5
144	22441701	painting	Steglitz-Zehlendorf	main street	2	professional	weathered graffiti	conceptual	5
145	57551633	graffiti	Pankow	side street	2	beginner	text	political	3
146	95279327	graffiti	Spandau	main street	1	first time	recent graffiti	people	5
147	27996024	painting	Steglitz-Zehlendorf	side street	2	advanced	nothing	conceptual	1
148	97536686	graffiti	Spandau	side street	1	first time	weathered graffiti	animals or plants	
149	20822971	painting	Reinickendorf	playground	3	beginner	stickers and tags	political	3
150	64270954	painting	Charlottenburg-Wilmersdorf	side street	2	first time	poster	conceptual	4
151	47930984	painting	Reinickendorf	main street	4	first time	weathered painting	people	2
152	98009137	painting	Reinickendorf	side street	2	beginner	weathered graffiti	conceptual	3
153	38685474	graffiti	Marzahn-Hellersdorf	main street	4	professional	recent graffiti	political	
154	90708884	graffiti	Spandau	main street	4	advanced	poster	animals or plants	2
155	70001339	graffiti	Marzahn-Hellersdorf	playground	1	advanced	weathered graffiti	people	
156	25627035	painting	Marzahn-Hellersdorf	park	3	first time	nothing	cartoon or comical	1
157	16897318	graffiti	Pankow	side street	3	advanced	stickers and tags	animals or plants	4
158	18357394	graffiti	Lichtenberg	side street	2	beginner	stickers and tags	cartoon or comical	
159	22798254	painting	Steglitz-Zehlendorf	main street	4	first time	nothing	animals or plants	3
160	22515055	graffiti	Friedrichshain-Kreuzberg	side street	1	professional	poster	conceptual	4
161	27889895	graffiti	Treptow-Köpenick	public spot	3	professional	nothing	animals or plants	4
162	71151505	painting	Mitte	public spot	3	first time	weathered graffiti	political	3
163	42040026	painting	Steglitz-Zehlendorf	side street	4	advanced	recent graffiti	political	2
164	38866058	painting	Friedrichshain-Kreuzberg	public spot	2	beginner	poster	animals or plants	1
165	74763972	poster	Marzahn-Hellersdorf	park	1	first time	weathered painting	scenery	3
166	82903806	text	Treptow-Köpenick	side street	1	beginner	nothing	conceptual	2
167	24665907	graffiti	Neukölln	public spot	1	first time	nothing	people	3
168	44950734	painting	Spandau	public spot	2	advanced	text	animals or plants	5
169	10880906	painting	Pankow	main street	4	beginner	weathered graffiti	conceptual	3
170	60635419	graffiti	Pankow	side street	4	advanced	nothing	people	2
171	38099060	graffiti	Lichtenberg	main street	4	first time	recent graffiti	cartoon or comical	1
172	66883595	painting	Treptow-Köpenick	public spot	2	first time	poster	political	4
173	60836224	painting	Pankow	side street	2	beginner	stickers and tags	cartoon or comical	3
174	69458480	poster	Neukölln	side street	4	beginner	recent painting	scenery	1
175	15401717	painting	Lichtenberg	park	2	advanced	nothing	conceptual	3
176	95101874	painting	Treptow-Köpenick	side street	2	advanced	weathered painting	scenery	
177	34869285	painting	Pankow	side street	3	first time	recent graffiti	conceptual	1
178	28424580	painting	Mitte	main street	3	advanced	stickers and tags	conceptual	4
179	92815161	painting	Mitte	main street	1	first time	stickers and tags	scenery	3
180	70384260	painting	Marzahn-Hellersdorf	side street	2	professional	stickers and tags	conceptual	4
181	37817835	painting	Marzahn-Hellersdorf	public spot	3	first time	stickers and tags	people	3
182	47701566	stencil	Reinickendorf	side street	2	beginner	weathered graffiti	cartoon or comical	3
183	52760741	painting	Pankow	side street	3	advanced	weathered painting	political	4
184	32475480	poster	Marzahn-Hellersdorf	public spot	4	beginner	weathered graffiti	conceptual	2
185	91870368	painting	Charlottenburg-Wilmersdorf	main street	1	advanced	text	animals or plants	5
186	68248155	painting	Steglitz-Zehlendorf	main street	1	advanced	weathered painting	scenery	4
187	77743201	graffiti	Reinickendorf	side street	3	advanced	stickers and tags	conceptual	2
188	42814096	painting	Neukölln	main street	1	first time	weathered graffiti	scenery	3
189	93948744	graffiti	Tempelhof-Schöneberg	side street	2	beginner	stickers and tags	cartoon or comical	4
190	91639786	painting	Pankow	side street	4	advanced	stickers and tags	scenery	5
191	44553511	poster	Lichtenberg	main street	2	advanced	poster	people	5
192	73300555	poster	Pankow	side street	2	first time	weathered painting	people	2
193	57787493	painting	Treptow-Köpenick	side street	5	first time	text	conceptual	1
194	88862787	graffiti	Spandau	side street	2	beginner	poster	political	3
195	50717381	poster	Pankow	main street	3	first time	nothing	scenery	3
196	25288281	painting	Lichtenberg	side street	2	professional	stickers and tags	scenery	4
197	28878870	painting	Spandau	side street	1	advanced	nothing	animals or plants	2
198	15175444	graffiti	Neukölln	side street	1	beginner	weathered painting	political	3
199	17837977	text	Friedrichshain-Kreuzberg	park	1	advanced	stickers and tags	conceptual	4
200	25321611	painting	Lichtenberg	main street	1	advanced	nothing	animals or plants	5
201	29880780	stencil	Pankow	side street	3	advanced	stickers and tags	political	5
202	95095386	graffiti	Charlottenburg-Wilmersdorf	main street	1	first time	recent graffiti	political	2
203	85678750	painting	Reinickendorf	public spot	2	beginner	poster	cartoon or comical	1
204	45100032	graffiti	Reinickendorf	park	1	first time	poster	political	2
205	86135480	graffiti	Steglitz-Zehlendorf	side street	3	professional	weathered graffiti	scenery	
206	79308376	painting	Reinickendorf	main street	3	first time	weathered graffiti	political	3
207	97908877	painting	Treptow-Köpenick	public spot	2	beginner	nothing	cartoon or comical	4
208	98540473	graffiti	Friedrichshain-Kreuzberg	public spot	1	first time	recent graffiti	people	2
209	69745362	painting	Lichtenberg	main street	3	beginner	nothing	people	2
210	26934478	graffiti	Tempelhof-Schöneberg	main street	1	first time	recent painting	animals or plants	
211	26210810	poster	Spandau	side street	2	first time	weathered graffiti	political	
212	80758935	painting	Spandau	park	3	advanced	text	conceptual	3
213	78782885	graffiti	Pankow	park	4	advanced	recent graffiti	political	3
214	18818706	painting	Mitte	side street	1	beginner	weathered graffiti	conceptual	3
215	26208164	painting	Treptow-Köpenick	side street	4	beginner	nothing	people	5
216	47303805	graffiti	Reinickendorf	park	3	first time	nothing	animals or plants	3
217	11394839	stencil	Pankow	main street	4	beginner	recent graffiti	cartoon or comical	3
218	40937537	graffiti	Neukölln	public spot	4	beginner	stickers and tags	animals or plants	3
219	33166386	poster	Reinickendorf	main street	2	advanced	weathered painting	animals or plants	4
220	75301897	text	Marzahn-Hellersdorf	main street	3	beginner	weathered graffiti	political	5
221	52685306	graffiti	Lichtenberg	side street	1	first time	weathered graffiti	people	
222	97856864	text	Treptow-Köpenick	side street	2	beginner	nothing	people	3
223	11814714	graffiti	Lichtenberg	playground	5	beginner	weathered graffiti	cartoon or comical	3
224	20356038	graffiti	Lichtenberg	public spot	2	first time	stickers and tags	animals or plants	3
225	91125524	graffiti	Reinickendorf	main street	1	advanced	text	scenery	
226	10433709	painting	Neukölln	main street	2	beginner	weathered painting	political	3
227	43170272	painting	Neukölln	main street	2	beginner	weathered graffiti	animals or plants	2
228	28952135	painting	Friedrichshain-Kreuzberg	public spot	1	first time	stickers and tags	political	
229	57541774	text	Neukölln	main street	2	advanced	recent graffiti	people	2
230	20919901	painting	Spandau	main street	2	beginner	stickers and tags	cartoon or comical	4
231	89963417	painting	Lichtenberg	main street	4	advanced	poster	cartoon or comical	5
232	17535851	poster	Treptow-Köpenick	main street	2	beginner	recent painting	political	4
233	44578530	painting	Tempelhof-Schöneberg	main street	1	advanced	poster	animals or plants	2
234	48090009	painting	Reinickendorf	park	2	professional	recent painting	animals or plants	4
235	60021582	painting	Friedrichshain-Kreuzberg	side street	2	advanced	text	conceptual	2
236	79988343	stencil	Reinickendorf	main street	4	beginner	stickers and tags	political	1
237	63244821	graffiti	Spandau	main street	2	professional	poster	people	4
238	12694075	graffiti	Pankow	main street	2	beginner	weathered graffiti	scenery	
239	62808126	painting	Mitte	main street	2	first time	stickers and tags	cartoon or comical	4
240	65641428	poster	Spandau	public spot	4	first time	recent graffiti	political	4
241	84404364	poster	Pankow	side street	3	first time	poster	conceptual	4
242	86307084	painting	Neukölln	main street	3	advanced	nothing	people	2
243	51513955	stencil	Mitte	main street	3	first time	stickers and tags	conceptual	1
244	26286358	painting	Spandau	side street	1	beginner	nothing	scenery	3
245	61283436	graffiti	Neukölln	main street	2	first time	nothing	cartoon or comical	5
246	78222101	painting	Tempelhof-Schöneberg	public spot	2	beginner	weathered graffiti	political	
247	45024603	painting	Reinickendorf	park	2	first time	stickers and tags	scenery	
248	20783872	painting	Pankow	main street	4	first time	stickers and tags	cartoon or comical	4
249	76909269	painting	Pankow	side street	2	beginner	nothing	cartoon or comical	4
250	24211112	painting	Charlottenburg-Wilmersdorf	main street	2	beginner	recent graffiti	scenery	4
251	98412994	painting	Friedrichshain-Kreuzberg	park	3	beginner	poster	political	
252	76835240	painting	Charlottenburg-Wilmersdorf	side street	2	professional	nothing	conceptual	2
253	95665162	graffiti	Treptow-Köpenick	side street	1	beginner	stickers and tags	people	2
254	10642411	painting	Friedrichshain-Kreuzberg	side street	3	first time	stickers and tags	animals or plants	3
255	36493760	painting	Spandau	playground	3	advanced	weathered graffiti	political	2
256	73839150	painting	Tempelhof-Schöneberg	main street	2	first time	weathered graffiti	conceptual	1
257	35279800	painting	Steglitz-Zehlendorf	park	2	advanced	poster	political	4
258	70224684	painting	Charlottenburg-Wilmersdorf	park	1	first time	recent painting	people	2
259	68662401	graffiti	Treptow-Köpenick	park	3	beginner	nothing	political	3
260	51615197	graffiti	Mitte	park	2	first time	weathered graffiti	conceptual	4
261	54829548	painting	Charlottenburg-Wilmersdorf	side street	3	first time	stickers and tags	conceptual	3
262	47180671	painting	Treptow-Köpenick	side street	4	professional	weathered graffiti	political	3
263	95657706	painting	Treptow-Köpenick	playground	2	advanced	nothing	scenery	3
264	27338380	painting	Friedrichshain-Kreuzberg	park	3	beginner	nothing	people	4
265	82358320	painting	Friedrichshain-Kreuzberg	side street	2	beginner	poster	conceptual	4
266	39285593	painting	Spandau	park	4	professional	text	cartoon or comical	3
267	78723633	painting	Friedrichshain-Kreuzberg	main street	3	first time	weathered graffiti	people	3
268	34923987	graffiti	Lichtenberg	main street	4	professional	weathered graffiti	cartoon or comical	
269	50988282	painting	Charlottenburg-Wilmersdorf	public spot	2	first time	nothing	scenery	2
270	33567073	painting	Friedrichshain-Kreuzberg	side street	2	professional	weathered graffiti	scenery	4
271	32292142	graffiti	Friedrichshain-Kreuzberg	park	3	beginner	stickers and tags	cartoon or comical	4
272	43887133	painting	Friedrichshain-Kreuzberg	park	5	advanced	stickers and tags	cartoon or comical	3
273	79807400	painting	Pankow	side street	2	advanced	text	people	2
274	23409768	painting	Treptow-Köpenick	main street	2	professional	recent graffiti	conceptual	5
275	31997260	graffiti	Lichtenberg	side street	2	beginner	poster	people	1
276	49552228	painting	Neukölln	park	4	beginner	stickers and tags	scenery	3
277	61280476	painting	Neukölln	main street	2	advanced	recent painting	scenery	4
278	12283353	graffiti	Tempelhof-Schöneberg	side street	3	first time	stickers and tags	political	3
279	89831977	painting	Pankow	side street	3	first time	weathered graffiti	political	3
280	38091649	painting	Spandau	park	3	first time	stickers and tags	people	2
281	94523269	graffiti	Steglitz-Zehlendorf	side street	4	first time	weathered graffiti	cartoon or comical	1
282	82055192	painting	Steglitz-Zehlendorf	side street	1	beginner	weathered graffiti	animals or plants	2
283	13810982	graffiti	Tempelhof-Schöneberg	side street	3	first time	weathered graffiti	animals or plants	2
284	93279432	painting	Reinickendorf	side street	3	beginner	weathered graffiti	animals or plants	
285	71272269	painting	Lichtenberg	main street	4	beginner	stickers and tags	cartoon or comical	4
286	40674961	graffiti	Lichtenberg	main street	2	first time	weathered painting	scenery	4
287	48816904	graffiti	Charlottenburg-Wilmersdorf	side street	3	beginner	text	scenery	3
288	94576718	graffiti	Steglitz-Zehlendorf	public spot	2	beginner	stickers and tags	people	2
289	33211290	painting	Treptow-Köpenick	side street	3	advanced	stickers and tags	cartoon or comical	5
290	32670499	painting	Mitte	main street	4	advanced	weathered graffiti	cartoon or comical	5
291	82293056	poster	Marzahn-Hellersdorf	side street	1	advanced	stickers and tags	cartoon or comical	5
292	34713336	painting	Charlottenburg-Wilmersdorf	side street	2	beginner	nothing	cartoon or comical	1
293	27906538	painting	Pankow	side street	1	beginner	stickers and tags	conceptual	4
294	99239942	painting	Lichtenberg	playground	2	advanced	weathered graffiti	scenery	2
295	41537385	graffiti	Pankow	public spot	5	first time	recent graffiti	conceptual	4
296	97019661	painting	Charlottenburg-Wilmersdorf	main street	2	first time	nothing	cartoon or comical	2
297	71098738	painting	Treptow-Köpenick	park	2	advanced	nothing	animals or plants	2
298	41678174	graffiti	Steglitz-Zehlendorf	public spot	2	first time	weathered painting	people	3
299	43931279	painting	Friedrichshain-Kreuzberg	side street	3	first time	recent graffiti	animals or plants	2
300	22525216	painting	Steglitz-Zehlendorf	main street	4	beginner	stickers and tags	people	3
301	45323510	graffiti	Neukölln	main street	4	advanced	stickers and tags	scenery	3
302	60710031	painting	Treptow-Köpenick	side street	3	advanced	poster	conceptual	5
303	97511095	painting	Friedrichshain-Kreuzberg	park	1	first time	weathered graffiti	scenery	3
304	60312819	graffiti	Friedrichshain-Kreuzberg	side street	2	advanced	recent graffiti	cartoon or comical	5
305	90411961	stencil	Charlottenburg-Wilmersdorf	public spot	4	first time	poster	conceptual	4
306	16419321	graffiti	Treptow-Köpenick	side street	1	advanced	stickers and tags	scenery	3
307	60283132	painting	Steglitz-Zehlendorf	public spot	1	beginner	text	people	2
308	71544962	poster	Marzahn-Hellersdorf	side street	4	first time	poster	political	3
309	72690724	graffiti	Treptow-Köpenick	main street	3	advanced	recent graffiti	animals or plants	4
310	87064543	text	Neukölln	side street	2	advanced	recent graffiti	conceptual	3
311	19962330	painting	Mitte	main street	1	first time	stickers and tags	cartoon or comical	4
312	20454481	painting	Treptow-Köpenick	main street	3	first time	stickers and tags	political	2
313	91233806	stencil	Steglitz-Zehlendorf	main street	3	beginner	poster	people	3
314	11520458	painting	Mitte	side street	4	beginner	weathered graffiti	conceptual	1
315	33572450	painting	Friedrichshain-Kreuzberg	main street	3	first time	text	scenery	5
316	10823563	painting	Neukölln	side street	5	advanced	nothing	conceptual	4
317	59900467	painting	Reinickendorf	main street	4	professional	recent graffiti	political	5
318	13038057	painting	Treptow-Köpenick	main street	2	beginner	recent graffiti	scenery	
319	60895329	graffiti	Charlottenburg-Wilmersdorf	public spot	2	advanced	stickers and tags	cartoon or comical	1
320	23576737	poster	Neukölln	main street	3	first time	nothing	people	5
321	22483725	painting	Tempelhof-Schöneberg	main street	4	professional	weathered painting	scenery	5
322	87959717	poster	Neukölln	main street	3	beginner	weathered graffiti	conceptual	3
323	72353244	graffiti	Lichtenberg	playground	3	professional	weathered graffiti	animals or plants	
324	10417325	painting	Charlottenburg-Wilmersdorf	side street	3	professional	recent graffiti	animals or plants	3
325	98245909	painting	Marzahn-Hellersdorf	side street	2	advanced	stickers and tags	scenery	2
326	90117469	graffiti	Pankow	park	3	first time	stickers and tags	conceptual	3
327	29102963	stencil	Spandau	public spot	2	professional	weathered graffiti	scenery	4
328	27771516	painting	Neukölln	public spot	3	beginner	weathered graffiti	people	4
329	74329083	painting	Lichtenberg	main street	2	advanced	weathered painting	animals or plants	
330	14113820	painting	Treptow-Köpenick	side street	2	advanced	nothing	people	4
331	17568827	text	Charlottenburg-Wilmersdorf	park	1	beginner	recent graffiti	conceptual	5
332	48234953	graffiti	Spandau	public spot	4	beginner	nothing	animals or plants	3
333	93601238	graffiti	Lichtenberg	public spot	1	beginner	recent graffiti	cartoon or comical	4
334	62627622	painting	Treptow-Köpenick	playground	2	first time	weathered painting	political	3
335	77488711	painting	Steglitz-Zehlendorf	side street	2	beginner	nothing	conceptual	3
336	14609029	graffiti	Friedrichshain-Kreuzberg	main street	3	first time	poster	cartoon or comical	2
337	72410878	poster	Pankow	main street	1	first time	poster	conceptual	3
338	53100328	graffiti	Steglitz-Zehlendorf	main street	2	advanced	nothing	cartoon or comical	2
339	77822741	painting	Treptow-Köpenick	main street	2	beginner	weathered painting	scenery	1
340	85855158	painting	Lichtenberg	main street	2	first time	weathered graffiti	animals or plants	1
341	68176639	painting	Pankow	side street	3	beginner	weathered graffiti	political	2
